id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401286304,UMass,10,Maine,35,consensus,58.5,5,Maine -5,,,,
401286304,UMass,10,Maine,35,Bovada,58.5,6.0,Maine -6.0,4.5,58.5,,
401287938,Baylor,27,Oklahoma,14,Bovada,64.0,3.5,Oklahoma -3.5,6.0,64.0,175,-210
401287938,Baylor,27,Oklahoma,14,William Hill (New Jersey),63,4,Oklahoma -4,,,,
401287938,Baylor,27,Oklahoma,14,consensus,62.5,4,Oklahoma -4,,,,
401287938,Baylor,27,Oklahoma,14,teamrankings,63,4,Oklahoma -4,,,,
401282105,Georgia,30,Kentucky,13,Bovada,44.5,-21.5,Georgia -21.5,-23.5,44.5,-1700,850
401282105,Georgia,30,Kentucky,13,William Hill (New Jersey),44.5,-21.5,Georgia -21.5,,,,
401282105,Georgia,30,Kentucky,13,consensus,44.5,-21.5,Georgia -21.5,,,,
401282105,Georgia,30,Kentucky,13,teamrankings,44.5,-21.5,Georgia -21.5,,,,
401282104,Arkansas,23,Auburn,38,William Hill (New Jersey),54.5,-4,Arkansas -4,,,,
401282104,Arkansas,23,Auburn,38,consensus,54.5,-4.5,Arkansas -4.5,,,,
401282104,Arkansas,23,Auburn,38,teamrankings,54.5,-4.5,Arkansas -4.5,,,,
401282104,Arkansas,23,Auburn,38,Bovada,54.0,-4.5,Arkansas -4.5,-3.5,53.0,-195,165
401301056,Army,13,Navy,17,Bovada,35.5,-7.0,Army -7.0,-8.5,36.0,-300,250
401301056,Army,13,Navy,17,Caesars (Pennsylvania),35.5,7,Navy -7,,,,
401301056,Army,13,Navy,17,consensus,35.5,7,Navy -7,,,,
401301056,Army,13,Navy,17,teamrankings,35.5,7,Navy -7,,,,
401309565,Kent State,48,Buffalo,38,Bovada,66.0,-7.0,Kent State -7.0,-5.5,61.0,-230,190
401309565,Kent State,48,Buffalo,38,William Hill (New Jersey),66,-7,Kent State -7,,,,
401309565,Kent State,48,Buffalo,38,consensus,66,-7,Kent State -7,,,,
401309565,Kent State,48,Buffalo,38,teamrankings,66,-7,Kent State -7,,,,
